"mapping_index","shared_old_rgb","keep_original_rgb_source","recolor_source","affected_subset","affected_source_id","affected_source_name","affected_preview_path","chosen_new_rgb","target_subset_pixels","changed_pixels","base_mismatch_pixels","fully_applied","basis","basis_reason","notes"
"29","93,99,51","orijinal","modlu","modlu_kalan","9902","Kaghankatuyk","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_93_99_51_modlu.png","16,112,176","346","346","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"30","51,111,53","orijinal","modlu","modlu_kalan","9906","Vararakn","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_51_111_53_modlu.png","16,112,208","552","552","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"31","93,129,56","orijinal","modlu","modlu_kalan","9912","TatevMon","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_93_129_56_modlu.png","16,112,240","395","395","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"32","177,135,57","modlu","orijinal","orijinal_dogu","9908","Goryeo_Seohae_Tosan","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_177_135_57_orijinal.png","16,144,16","444","444","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"33","9,138,185","orijinal","modlu","modlu_kalan","9915","Haghpat","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_9_138_185_modlu.png","16,144,48","197","197","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"34","93,144,186","orijinal","modlu","modlu_kalan","9917","Bjni","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_93_144_186_modlu.png","16,144,80","442","442","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"35","135,147,59","orijinal","modlu","modlu_kalan","9918","Ashtarak","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_135_147_59_modlu.png","16,144,112","197","197","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"36","177,150,187","orijinal","modlu","modlu_kalan","9919","Amberd","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_177_150_187_modlu.png","16,144,144","268","268","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"37","9,153,60","orijinal","modlu","modlu_kalan","9920","Shirakavan","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_9_153_60_modlu.png","16,144,176","165","165","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"38","51,156,188","orijinal","modlu","modlu_kalan","9921","Tekor","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_51_156_188_modlu.png","16,144,208","248","248","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"39","135,162,189","orijinal","modlu","modlu_kalan","9923","Tercan","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_135_162_189_modlu.png","16,144,240","492","492","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"40","9,168,190","orijinal","modlu","modlu_kalan","9925","Varzahan","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_9_168_190_modlu.png","16,176,16","248","248","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"41","51,171,63","orijinal","modlu","modlu_kalan","9926","Tralles","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_51_171_63_modlu.png","16,176,48","523","523","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"42","177,180,192","modlu","orijinal","orijinal_dogu","9920","Goryeo_Seohae_Ongjin","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_177_180_192_orijinal.png","16,176,80","519","519","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"43","51,186,193","modlu","orijinal","orijinal_dogu","9921","Goryeo_Seohae_Ubong","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_51_186_193_orijinal.png","16,176,112","477","477","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"44","93,189,66","orijinal","modlu","modlu_kalan","9932","Ebi Lake","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_93_189_66_modlu.png","16,176,144","369","369","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"45","135,192,194","modlu","orijinal","orijinal_dogu","9923","Goryeo_Yanggwan_Bukju","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_135_192_194_orijinal.png","16,176,176","434","434","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"46","177,195,67","orijinal","modlu","modlu_kalan","9934","Sayram Lake","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_177_195_67_modlu.png","16,176,208","145","145","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"47","51,201,68","modlu","orijinal","orijinal_dogu","9925","Goryeo_Yanggwan_Haengju","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_51_201_68_orijinal.png","16,176,240","409","409","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"48","93,204,196","orijinal","modlu","modlu_kalan","9937","Jili Lake","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_93_204_196_modlu.png","16,208,16","59","59","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"49","135,207,69","orijinal","modlu","modlu_kalan","9938","Ailik Lake","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_135_207_69_modlu.png","16,208,48","286","286","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"50","177,210,197","modlu","orijinal","orijinal_dogu","9930","Goryeo_Yanggwan_Pyeongchang","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_177_210_197_orijinal.png","16,208,80","255","255","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"51","9,0,70","modlu","orijinal","orijinal_dogu","9931","Goryeo_Yanggwan_Yeongwol","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_9_0_70_orijinal.png","16,208,112","442","442","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"52","135,9,199","modlu","orijinal","orijinal_dogu","9932","Goryeo_Yanggwan_Jecheon","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_135_9_199_orijinal.png","16,208,144","556","556","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"53","177,12,72","orijinal","modlu","modlu_kalan","9944","Ereen Nuur","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_177_12_72_modlu.png","16,208,176","71","71","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"54","9,15,200","orijinal","modlu","modlu_kalan","9945","Gegeen Nuur","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_9_15_200_modlu.png","16,208,208","141","141","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"55","51,18,73","orijinal","modlu","modlu_kalan","9946","B̦̦n Tsagaan Nuur","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_51_18_73_modlu.png","16,208,240","92","92","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"56","93,21,201","orijinal","modlu","modlu_kalan","9947","Orog Nuur","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_93_21_201_modlu.png","16,240,16","41","41","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"57","135,24,74","orijinal","modlu","modlu_kalan","9948","Taatsiin Tsagaan Nuur","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_135_24_74_modlu.png","16,240,48","26","26","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"58","177,27,202","modlu","orijinal","orijinal_dogu","9935","Goryeo_Yanggwan_Jangyeon","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_177_27_202_orijinal.png","16,240,80","457","457","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"59","9,30,75","modlu","orijinal","orijinal_dogu","9936","Goryeo_Yanggwan_Cheongju","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_9_30_75_orijinal.png","16,240,112","543","543","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"60","93,36,76","orijinal","modlu","modlu_kalan","9952","Achit Nuur","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_93_36_76_modlu.png","16,240,144","128","128","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"61","177,42,77","modlu","orijinal","orijinal_dogu","9939","Goryeo_Yanggwan_Gwangju","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_177_42_77_orijinal.png","16,240,176","730","730","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"62","51,48,78","orijinal","modlu","modlu_kalan","9956","Katta K̦l","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_51_48_78_modlu.png","16,240,208","105","105","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"63","93,51,206","orijinal","modlu","modlu_kalan","9957","Siob K̦l","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_93_51_206_modlu.png","16,240,240","85","85","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"64","9,60,80","orijinal","modlu","modlu_kalan","9960","Suqian Lake","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_9_60_80_modlu.png","48,16,16","139","139","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"65","51,63,208","orijinal","modlu","modlu_kalan","9961","Ngoring Lake","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_51_63_208_modlu.png","48,16,48","130","130","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"66","93,66,81","orijinal","modlu","modlu_kalan","9962","Gyaring Lake","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_93_66_81_modlu.png","48,16,80","108","108","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"67","51,78,83","orijinal","modlu","modlu_kalan","9966","Lake Aqqikkol","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_51_78_83_modlu.png","48,16,112","113","113","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"68","93,81,211","orijinal","modlu","modlu_kalan","9967","Lake Jingyu","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_93_81_211_modlu.png","48,16,144","75","75","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
"69","135,84,84","orijinal","modlu","modlu_kalan","9968","Yamdrok Yumtso","F:\Storage\Codding\git\Crusader Kings III\Leviathonlx MoreBookmarks-Plus\BookmarksGit\analysis\generated\rgb_conflict_previews\rgb_135_84_84_modlu.png","48,16,176","140","140","0","True","heuristic_draft","Smaller pixel footprint may be cheaper to recolor.","Draft only. Review before applying to provinces_birlesim.png or final definition outputs."
